name,vendor,generation,socket,lithography,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,memory_types,max_memory_gb,memory_channels,ecc_support,has_igpu,url
Core i3-6320,Intel,6th Gen,LGA1151,14nm,2,4,3.9,3.9,51,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-6320
Core i3-7100,Intel,7th Gen,LGA1151,14nm,2,4,3.9,3.9,51,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-7100
Core i3-7350K,Intel,7th Gen,LGA1151,14nm,2,4,4.2,4.2,60,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-7350k
Core i3-8100,Intel,8th Gen,LGA1151,14nm,4,4,3.6,3.6,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-8100
Core i3-8350K,Intel,8th Gen,LGA1151,14nm,4,4,4.0,4.0,91,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-8350k
Core i3-9100F,Intel,9th Gen,LGA1151,14nm,4,4,3.6,4.2,65,DDR4,128,2,No,No,https://pcspecs.io/cpus/core-i3-9100f
Core i5-1035G1,Intel,10th Gen (Ice Lake),FCBGA1526,10nm,4,8,1.0,3.6,15,"DDR4-3200, LPDDR4-3733",64,2,No,Yes,https://pcspecs.io/cpus/core-i5-1035g1
Core i5-10400,Intel,10th Gen,LGA1200,14nm,6,12,2.9,4.3,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-10400
Core i5-10400F,Intel,10th Gen,LGA1200,14nm,6,12,2.9,4.3,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i5-10400f
Core i5-10500,Intel,10th Gen,LGA1200,14nm,6,12,3.1,4.5,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-10500
Core i5-10600,Intel,10th Gen,LGA1200,14nm,6,12,3.3,4.8,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-10600
Core i5-10600K,Intel,10th Gen,LGA1200,14nm,6,12,4.1,4.8,125,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-10600k
Core i5-10600KF,Intel,10th Gen,LGA1200,14nm,6,12,4.1,4.8,125,DDR4,,,No,No,https://pcspecs.io/cpus/core-i5-10600kf
Core i5-1135G7,Intel,11th Gen (Tiger Lake),FCBGA1449,10nm,4,8,2.4,4.2,28,"DDR4-3200, LPDDR4x-4267",64,2,No,Yes,https://pcspecs.io/cpus/core-i5-1135g7
Core i5-11400,Intel,11th Gen,LGA1200,14nm,6,12,2.6,4.4,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-11400
Core i5-11400F,Intel,11th Gen,LGA1200,14nm,6,12,2.6,4.4,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i5-11400f
Core i5-11500,Intel,11th Gen,LGA1200,14nm,6,12,2.7,4.6,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-11500
Core i5-11600,Intel,11th Gen,LGA1200,14nm,6,12,2.8,4.8,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-11600
Core i5-11600K,Intel,11th Gen,LGA1200,14nm,6,12,3.9,4.9,125,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-11600k
Core i5-11600KF,Intel,11th Gen,LGA1200,14nm,6,12,3.9,4.9,125,DDR4,,,No,No,https://pcspecs.io/cpus/core-i5-11600kf
Core i5-12400,Intel,12th Gen (Alder Lake),LGA1700,10nm,6,12,2.5,4.4,65,"DDR5, DDR4",128,2,No,Yes,https://pcspecs.io/cpus/core-i5-12400
Core i5-12400F,Intel,12th Gen (Alder Lake),LGA1700,10nm,6,12,2.5,4.4,65,"DDR5, DDR4",128,2,No,No,https://pcspecs.io/cpus/core-i5-12400f
Core i5-12450HX,Intel,12th Gen (Alder Lake),FCBGA1964,10nm,8,12,2.4,4.4,55,"DDR5-4800, DDR4-3200",128,2,No,Yes,https://pcspecs.io/cpus/core-i5-12450hx
Core i5-12500,Intel,12th Gen,LGA1700,10nm,6,12,3.0,4.6,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-12500
Core i5-12600,Intel,12th Gen,LGA1700,10nm,6,12,3.3,4.8,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-12600
Core i5-12600K,Intel,12th Gen,LGA1700,10nm,10,16,3.7,4.9,125,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-12600k
Core i5-12600KF,Intel,12th Gen,LGA1700,10nm,10,16,3.7,4.9,125,DDR4/DDR5,,,No,No,https://pcspecs.io/cpus/core-i5-12600kf
Core i5-13400,Intel,13th Gen (Raptor Lake),LGA1700,10nm,10,16,2.5,4.6,65,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i5-13400
Core i5-13400F,Intel,13th Gen (Raptor Lake),LGA1700,10nm,10,16,2.5,4.6,65,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i5-13400f
Core i5-13420H,Intel,13th Gen,FCBGA1744,10nm,8,12,2.1,4.6,45,"DDR5-5200, DDR4-3200, LPDDR5x-5200, LPDDR4x-4267",96,2,No,Yes,https://pcspecs.io/cpus/core-i5-13420h
Core i5-13450HX,Intel,13th Gen (Raptor Lake),FCBGA1964,10nm,10,16,2.4,4.6,55,"DDR5-4800, DDR4-3200",192,2,Yes,Yes,https://pcspecs.io/cpus/core-i5-13450hx
Core i5-13500,Intel,13th Gen,LGA1700,10nm,14,20,2.5,4.8,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-13500
Core i5-13500H,Intel,13th Gen,FCBGA1744,10nm,12,16,1.9,4.7,45,"DDR5-5200, DDR4-3200, LPDDR5x-5200, LPDDR4x-4267",96,2,No,Yes,https://pcspecs.io/cpus/core-i5-13500h
Core i5-13500HX,Intel,13th Gen (Raptor Lake),FCBGA1964,10nm,14,20,2.5,4.7,55,"DDR5-4800, DDR4-3200",192,2,Yes,Yes,https://pcspecs.io/cpus/core-i5-13500hx
Core i5-13600,Intel,13th Gen,LGA1700,10nm,14,20,2.7,5.0,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i5-13600
Core i5-13600HX,Intel,13th Gen (Raptor Lake),FCBGA1964,10nm,14,20,2.6,4.8,55,"DDR5-4800, DDR4-3200",192,2,Yes,Yes,https://pcspecs.io/cpus/core-i5-13600hx
Core i5-13600K,Intel,13th Gen (Raptor Lake),LGA1700,10nm,14,20,3.5,5.1,125,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i5-13600k
Core i5-13600KF,Intel,13th Gen (Raptor Lake),LGA1700,10nm,14,20,3.5,5.1,125,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i5-13600kf
Core i5-14400,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,10,16,2.5,4.7,65,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i5-14400
